pits,back_propagation,heuristics,c,policy,iterations,seed,num_games,type_system,sts_size,mm_level,domain, max_alg, min_alg, num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games,max_time,min_time
6,1,2,2.5,1,5000,0,100,2,700,5,0,BFB+SR,MINMAX,100,33,0,0.000000,1.000000,0,0.006318,0.011376
6,1,2,2.5,1,5000,0,100,2,700,6,0,BFB+SR,MINMAX,100,27,0,0.013699,0.986301,1,0.006403,0.010432
6,1,2,2.5,1,5000,0,100,2,700,7,0,BFB+SR,MINMAX,100,19,0,0.012346,0.987654,1,0.006735,0.011119
6,1,2,2.5,1,75000,0,100,2,1000,3,0,BFB+SR,MINMAX,100,52,0,0.125000,0.875000,6,0.084748,0.200704
6,1,2,2.5,1,75000,0,100,2,1000,4,0,BFB+SR,MINMAX,100,34,0,0.045455,0.954545,3,0.090726,0.185464
6,1,2,2.5,1,75000,0,100,2,1000,5,0,BFB+SR,MINMAX,100,34,0,0.015152,0.984848,1,0.091768,0.187673
6,1,2,2.5,1,75000,0,100,2,1000,6,0,BFB+SR,MINMAX,100,24,0,0.000000,1.000000,0,0.099739,0.170558
6,1,2,2.5,1,75000,0,100,2,1000,7,0,BFB+SR,MINMAX,100,26,0,0.000000,1.000000,0,0.096084,0.165345
6,1,2,2.5,1,75000,0,100,2,100,3,0,BFB+SR,MINMAX,100,45,0,0.127273,0.872727,7,0.115103,0.234976
6,1,2,2.5,1,75000,0,100,2,100,4,0,BFB+SR,MINMAX,100,48,0,0.096154,0.903846,5,0.135043,0.238158
6,1,2,2.5,1,75000,0,100,2,100,5,0,BFB+SR,MINMAX,100,34,0,0.030303,0.969697,2,0.124445,0.232045
6,1,2,2.5,1,75000,0,100,2,100,6,0,BFB+SR,MINMAX,100,26,0,0.000000,1.000000,0,0.121835,0.216755
6,1,2,2.5,1,75000,0,100,2,100,7,0,BFB+SR,MINMAX,100,24,0,0.000000,1.000000,0,0.135316,0.230419
