pits,backop,heuristics,c,iterations,seed,num_games,ci_threshold,domain,max_alg,min_alg,num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games,max_time,min_time,avg_score
10,4,6,2.5,100000,0,1000,1,0,UCT,UCT,1000,534,0,0.652360,0.347639,304,0.704783,0.718237,-0.000000
10,4,6,2.5,100000,0,1000,25,0,UCT,UCT,1000,495,0,0.617822,0.382178,312,0.693883,0.694268,-0.000000
10,4,6,2.5,100000,0,1000,50,0,UCT,UCT,1000,491,0,0.636542,0.363458,324,0.690980,0.688922,-0.000000
10,4,6,2.5,10000,0,1000,10,0,UCT,UCT,1000,475,0,0.628571,0.371429,330,0.057238,0.057366,-0.000000
10,4,6,2.5,10000,0,1000,1,0,UCT,UCT,1000,456,0,0.602941,0.397059,328,0.059743,0.060780,-0.000000
10,4,6,2.5,10000,0,1000,25,0,UCT,UCT,1000,478,0,0.634100,0.365900,331,0.056819,0.056586,-0.000000
10,4,6,2.5,10000,0,1000,50,0,UCT,UCT,1000,477,0,0.617591,0.382409,323,0.056839,0.056620,-0.000000
10,4,6,2.5,1000,0,1000,10,0,UCT,UCT,1000,449,0,0.589837,0.410163,325,0.004570,0.004555,-0.000000
10,4,6,2.5,1000,0,1000,1,0,UCT,UCT,1000,481,0,0.551060,0.448940,286,0.004644,0.004701,-0.000000
10,4,6,2.5,1000,0,1000,25,0,UCT,UCT,1000,459,0,0.528651,0.471349,286,0.004541,0.004544,-0.000000
10,4,6,2.5,1000,0,1000,50,0,UCT,UCT,1000,471,0,0.551985,0.448015,292,0.004506,0.004515,-0.000000
10,4,6,2.5,15000,0,1000,10,0,UCT,UCT,1000,450,0,0.641818,0.358182,353,0.089181,0.089114,-0.000000
10,4,6,2.5,15000,0,1000,1,0,UCT,UCT,1000,508,0,0.662602,0.337398,326,0.090681,0.092032,-0.000000
10,4,6,2.5,15000,0,1000,25,0,UCT,UCT,1000,480,0,0.621154,0.378846,323,0.088480,0.088284,-0.000000
10,4,6,2.5,15000,0,1000,50,0,UCT,UCT,1000,486,0,0.638132,0.361868,328,0.088245,0.087808,-0.000000
10,4,6,2.5,25000,0,1000,10,0,UCT,UCT,1000,497,0,0.660040,0.339960,332,0.155928,0.156145,-0.000000
10,4,6,2.5,25000,0,1000,1,0,UCT,UCT,1000,492,0,0.645669,0.354331,328,0.158492,0.161149,-0.000000
10,4,6,2.5,25000,0,1000,25,0,UCT,UCT,1000,469,0,0.634652,0.365348,337,0.155623,0.154887,-0.000000
10,4,6,2.5,25000,0,1000,50,0,UCT,UCT,1000,477,0,0.627151,0.372849,328,0.154399,0.154591,-0.000000
10,4,6,2.5,50000,0,1000,10,0,UCT,UCT,1000,481,0,0.631985,0.368015,328,0.331288,0.332838,-0.000000
10,4,6,2.5,50000,0,1000,1,0,UCT,UCT,1000,501,0,0.615230,0.384770,307,0.336586,0.342154,-0.000000
10,4,6,2.5,50000,0,1000,25,0,UCT,UCT,1000,472,0,0.657197,0.342803,347,0.329409,0.328171,-0.000000
10,4,6,2.5,50000,0,1000,50,0,UCT,UCT,1000,510,0,0.661224,0.338776,324,0.329220,0.329014,-0.000000
10,4,6,2.5,5000,0,1000,10,0,UCT,UCT,1000,502,0,0.584337,0.415663,291,0.026680,0.026854,-0.000000
10,4,6,2.5,5000,0,1000,1,0,UCT,UCT,1000,486,0,0.573930,0.426070,295,0.027328,0.027676,-0.000000
10,4,6,2.5,5000,0,1000,25,0,UCT,UCT,1000,466,0,0.602996,0.397004,322,0.026660,0.026586,-0.000000
10,4,6,2.5,5000,0,1000,50,0,UCT,UCT,1000,521,0,0.586639,0.413361,281,0.026429,0.026439,-0.000000
10,4,6,2.5,75000,0,1000,10,0,UCT,UCT,1000,473,0,0.675522,0.324478,356,0.515788,0.514817,-0.000000
10,4,6,2.5,75000,0,1000,1,0,UCT,UCT,1000,495,0,0.663366,0.336634,335,0.557391,0.564786,-0.000000
10,4,6,2.5,75000,0,1000,25,0,UCT,UCT,1000,510,0,0.665306,0.334694,326,0.510096,0.507527,-0.000000
10,4,6,2.5,75000,0,1000,50,0,UCT,UCT,1000,486,0,0.659533,0.340467,339,0.508307,0.506444,-0.000000
