Seed, Instance, GS_level,  Iterations, H , GS_Move, GS_Move_Val, UCT_Move, UCT_Move_Val, UCT_GS_Move_Val, CDP_Move, CDP_Move_Val, CDP_GS_Move_Val, MM_Move, MM_Move_Val, MM_GS_Move_Val
627, 627, 12, 5000, h3 , 0, 1.000000, 2, 0.235427, 0.079592, 2, 0.237798 , 0.078029, 0, 1.000000 , 1.000000
628, 628, 12, 5000, h3 , 0, 1.000000, 1, 0.358912, 0.077399, 1, 0.355535 , 0.077399, 0, 1.000000 , 1.000000
629, 629, 12, 5000, h3 , 1, 1.000000, 3, 0.044906, -0.087379, 3, 0.042982 , -0.094303, 2, 1.000000 , 0.000000
630, 630, 12, 5000, h3 , 0, 1.000000, 1, 0.201586, 0.065903, 1, 0.200680 , 0.065903, 0, 1.000000 , 1.000000
631, 631, 12, 5000, h3 , 0, 1.000000, 3, 0.159451, 0.024958, 3, 0.159451 , 0.030560, 3, 1.000000 , -1.000000
632, 632, 12, 5000, h3 , 3, 1.000000, 0, 0.035915, 0.016594, 0, 0.031228 , 0.014899, 0, 1.000000 , 0.000000
633, 633, 12, 5000, h3 , 0, 1.000000, 0, 0.076807, 0.076807, 0, 0.077736 , 0.077736, 0, -1.000000 , -1.000000
634, 634, 12, 5000, h3 , 0, 1.000000, 1, 0.081445, -0.025510, 1, 0.078181 , -0.027350, 0, -1.000000 , -1.000000
635, 635, 12, 5000, h3 , 0, 1.000000, 0, 0.184265, 0.184265, 0, 0.182768 , 0.182768, 0, 1.000000 , 1.000000
636, 636, 12, 5000, h3 , 1, 1.000000, 3, 0.198088, 0.125541, 3, 0.199923 , 0.125541, 3, 1.000000 , 0.000000
637, 637, 12, 5000, h3 , 0, 1.000000, 2, 0.135119, 0.078452, 2, 0.133863 , 0.073607, 0, 1.000000 , 1.000000
638, 638, 12, 5000, h3 , 6, 0.000000, 2, 0.082414, 0.000000, 2, 0.081486 , 0.000000, 4, 1.000000 , 0.000000
639, 639, 12, 5000, h3 , 0, 1.000000, 1, 0.136676, 0.060484, 1, 0.137646 , 0.073670, 1, 1.000000 , -1.000000
640, 640, 12, 5000, h3 , 2, 1.000000, 4, 0.031956, 0.012207, 4, 0.031956 , 0.017941, 2, 0.000000 , 0.000000
641, 641, 12, 5000, h3 , 0, 1.000000, 0, 0.110246, 0.110246, 0, 0.109518 , 0.109518, 2, 1.000000 , -1.000000
