pits,back_propagation,heuristics,c,policy,iterations,seed,num_games,type_system,sts_size,mm_level,domain, max_alg, min_alg, num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games,max_time,min_time
6,2,2,2.5,1,15000,0,100,2,5000,4,0,BFB,MINMAX,100,23,0,0.961039,0.038961,74,0.051995,0.066061
6,2,2,2.5,1,15000,0,100,2,5000,5,0,BFB,MINMAX,100,49,0,0.941176,0.058824,48,0.049114,0.058610
6,2,2,2.5,1,15000,0,100,2,5000,6,0,BFB,MINMAX,100,41,0,0.847458,0.152542,50,0.049842,0.055451
6,2,2,2.5,1,15000,0,100,2,5000,7,0,BFB,MINMAX,100,48,0,0.615385,0.384615,32,0.048729,0.053208
6,2,2,2.5,1,15000,0,100,2,500,3,0,BFB,MINMAX,100,27,0,0.986301,0.013699,72,0.048160,0.060625
6,2,2,2.5,1,15000,0,100,2,500,4,0,BFB,MINMAX,100,40,0,0.816667,0.183333,49,0.047141,0.059718
6,2,2,2.5,1,15000,0,100,2,500,5,0,BFB,MINMAX,100,49,0,0.843137,0.156863,43,0.045813,0.056549
6,2,2,2.5,1,15000,0,100,2,500,6,0,BFB,MINMAX,100,55,0,0.488889,0.511111,22,0.046581,0.053077
6,2,2,2.5,1,15000,0,100,2,500,7,0,BFB,MINMAX,100,56,0,0.227273,0.772727,10,0.045334,0.048162
6,2,2,2.5,1,15000,0,100,2,700,3,0,BFB,MINMAX,100,28,0,0.972222,0.027778,70,0.046572,0.060542
6,2,2,2.5,1,15000,0,100,2,700,4,0,BFB,MINMAX,100,40,0,0.950000,0.050000,57,0.048353,0.062559
6,2,2,2.5,1,15000,0,100,2,700,5,0,BFB,MINMAX,100,46,0,0.777778,0.222222,42,0.046320,0.055561
6,2,2,2.5,1,15000,0,100,2,700,6,0,BFB,MINMAX,100,55,0,0.577778,0.422222,26,0.045564,0.051567
6,2,2,2.5,1,15000,0,100,2,700,7,0,BFB,MINMAX,100,58,0,0.285714,0.714286,12,0.046561,0.048363
6,2,2,2.5,1,5000,0,100,2,1000,3,0,BFB,MINMAX,100,20,0,0.987500,0.012500,79,0.034470,0.043081
6,2,2,2.5,1,5000,0,100,2,1000,4,0,BFB,MINMAX,100,41,0,0.983051,0.016949,58,0.015037,0.018320
6,2,2,2.5,1,5000,0,100,2,1000,5,0,BFB,MINMAX,100,48,0,0.846154,0.153846,44,0.015096,0.017237
6,2,2,2.5,1,5000,0,100,2,1000,6,0,BFB,MINMAX,100,55,0,0.555556,0.444444,25,0.014588,0.016330
6,2,2,2.5,1,5000,0,100,2,1000,7,0,BFB,MINMAX,100,68,0,0.406250,0.593750,13,0.014693,0.015803
6,2,2,2.5,1,5000,0,100,2,100,3,0,BFB,MINMAX,100,50,0,0.960000,0.040000,48,0.037454,0.050181
6,2,2,2.5,1,5000,0,100,2,100,4,0,BFB,MINMAX,100,59,0,0.609756,0.390244,25,0.015855,0.016997
6,2,2,2.5,1,5000,0,100,2,100,5,0,BFB,MINMAX,100,51,0,0.326531,0.673469,16,0.015151,0.016549
6,2,2,2.5,1,5000,0,100,2,100,6,0,BFB,MINMAX,100,51,0,0.244898,0.755102,12,0.014829,0.016662
