pits,heuristics,c,policy,iterations,seed,num_games,type_system,sts_size,domain, max_alg, min_alg, mm_level ,num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games
6,1,2.5,3,10000,0,100,2,100,0,BFB,MINMAX,3,100,44,0,0.75,0.25,42
6,1,2.5,3,10000,0,100,2,5000,0,BFB,MINMAX,3,100,32,0,0.985294,0.014706,67
6,1,2.5,3,10000,0,100,2,500,0,BFB,MINMAX,3,100,44,0,1,0,56
6,1,2.5,3,10000,0,100,2,700,0,BFB,MINMAX,3,100,31,0,0.971014,0.028986,67
6,1,2.5,3,1000,0,100,2,1000,0,BFB,MINMAX,3,100,30,0,0.971429,0.028571,68
6,1,2.5,3,1000,0,100,2,100,0,BFB,MINMAX,3,100,42,0,0.844828,0.155172,49
6,1,2.5,3,1000,0,100,2,5000,0,BFB,MINMAX,3,100,26,0,0.986486,0.013514,73
6,1,2.5,3,1000,0,100,2,500,0,BFB,MINMAX,3,100,38,0,0.983871,0.016129,61
6,1,2.5,3,1000,0,100,2,700,0,BFB,MINMAX,3,100,39,0,0.983607,0.016393,60
6,1,2.5,3,15000,0,100,2,1000,0,BFB,MINMAX,3,100,30,0,0.971429,0.028571,68
6,1,2.5,3,15000,0,100,2,100,0,BFB,MINMAX,3,100,51,0,0.795918,0.204082,39
6,1,2.5,3,15000,0,100,2,5000,0,BFB,MINMAX,3,100,27,0,0.986301,0.013699,72
6,1,2.5,3,15000,0,100,2,500,0,BFB,MINMAX,3,100,32,0,0.955882,0.044118,65
6,1,2.5,3,15000,0,100,2,700,0,BFB,MINMAX,3,100,35,0,1,0,65
6,1,2.5,3,5000,0,100,2,1000,0,BFB,MINMAX,3,100,40,0,0.95,0.05,57
6,1,2.5,3,5000,0,100,2,100,0,BFB,MINMAX,3,100,49,0,0.803922,0.196078,41
6,1,2.5,3,5000,0,100,2,5000,0,BFB,MINMAX,3,100,26,0,0.986486,0.013514,73
6,1,2.5,3,5000,0,100,2,500,0,BFB,MINMAX,3,100,35,0,1,0,65
6,1,2.5,3,5000,0,100,2,700,0,BFB,MINMAX,3,100,40,0,0.983333,0.016667,59
6,2,0.5,1,100000,0,100,2,1000,0,BFB,MINMAX,3,100,27,0,0.958904,0.041096,70
6,2,0.5,1,100000,0,100,2,100,0,BFB,MINMAX,3,100,45,0,0.8,0.2,44
6,2,0.5,1,100000,0,100,2,5000,0,BFB,MINMAX,3,100,19,0,1,0,81
6,2,0.5,1,100000,0,100,2,500,0,BFB,MINMAX,3,100,33,0,0.955224,0.044776,64
6,2,0.5,1,100000,0,100,2,700,0,BFB,MINMAX,3,100,25,0,0.946667,0.053333,71
6,2,0.5,1,10000,0,100,2,1000,0,BFB,MINMAX,3,100,23,0,0.961039,0.038961,74
6,2,0.5,1,10000,0,100,2,100,0,BFB,MINMAX,3,100,43,0,0.807018,0.192982,46
6,2,0.5,1,10000,0,100,2,5000,0,BFB,MINMAX,3,100,21,0,1,0,79
6,2,0.5,1,10000,0,100,2,500,0,BFB,MINMAX,3,100,25,0,0.973333,0.026667,73
6,2,0.5,1,10000,0,100,2,700,0,BFB,MINMAX,3,100,30,0,0.971429,0.028571,68
6,2,0.5,1,1000,0,100,2,1000,0,BFB,MINMAX,3,100,25,0,1,0,75
6,2,0.5,1,1000,0,100,2,100,0,BFB,MINMAX,3,100,34,0,0.818182,0.181818,54
6,2,0.5,1,1000,0,100,2,5000,0,BFB,MINMAX,3,100,21,0,0.987342,0.012658,78
6,2,0.5,1,1000,0,100,2,500,0,BFB,MINMAX,3,100,33,0,0.895522,0.104478,60
6,2,0.5,1,1000,0,100,2,700,0,BFB,MINMAX,3,100,23,0,0.935065,0.064935,72
6,2,0.5,1,15000,0,100,2,1000,0,BFB,MINMAX,3,100,27,0,1,0,73
6,2,0.5,1,15000,0,100,2,100,0,BFB,MINMAX,3,100,48,0,0.788462,0.211538,41
6,2,0.5,1,15000,0,100,2,5000,0,BFB,MINMAX,3,100,13,0,0.988506,0.011494,86
6,2,0.5,1,15000,0,100,2,500,0,BFB,MINMAX,3,100,30,0,0.971429,0.028571,68
6,2,0.5,1,15000,0,100,2,700,0,BFB,MINMAX,3,100,28,0,1,0,72
6,2,0.5,1,5000,0,100,2,1000,0,BFB,MINMAX,3,100,23,0,0.987013,0.012987,76
6,2,0.5,1,5000,0,100,2,100,0,BFB,MINMAX,3,100,42,0,0.724138,0.275862,42
6,2,0.5,1,5000,0,100,2,5000,0,BFB,MINMAX,3,100,21,0,0.974684,0.025316,77
6,2,0.5,1,5000,0,100,2,500,0,BFB,MINMAX,3,100,27,0,0.931507,0.068493,68
6,2,0.5,1,5000,0,100,2,700,0,BFB,MINMAX,3,100,26,0,0.986486,0.013514,73
6,2,0.5,2,100000,0,100,2,1000,0,BFB,MINMAX,3,100,19,0,0.975309,0.024691,79
6,2,0.5,2,100000,0,100,2,100,0,BFB,MINMAX,3,100,39,0,0.868852,0.131148,53
6,2,0.5,2,100000,0,100,2,5000,0,BFB,MINMAX,3,100,19,0,0.987654,0.012346,80
6,2,0.5,2,100000,0,100,2,500,0,BFB,MINMAX,3,100,36,0,0.953125,0.046875,61
6,2,0.5,2,100000,0,100,2,700,0,BFB,MINMAX,3,100,33,0,0.955224,0.044776,64
6,2,0.5,2,10000,0,100,2,1000,0,BFB,MINMAX,3,100,25,0,0.986667,0.013333,74
6,2,0.5,2,10000,0,100,2,100,0,BFB,MINMAX,3,100,43,0,0.859649,0.140351,49
6,2,0.5,2,10000,0,100,2,5000,0,BFB,MINMAX,3,100,26,0,0.986486,0.013514,73
6,2,0.5,2,10000,0,100,2,500,0,BFB,MINMAX,3,100,20,0,0.9125,0.0875,73
6,2,0.5,2,10000,0,100,2,700,0,BFB,MINMAX,3,100,33,0,0.955224,0.044776,64
6,2,0.5,2,1000,0,100,2,1000,0,BFB,MINMAX,3,100,30,0,0.942857,0.057143,66
6,2,0.5,2,1000,0,100,2,100,0,BFB,MINMAX,3,100,49,0,0.882353,0.117647,45
