pits,heuristics,c,policy,iterations,seed,num_games,type_system,sts_size, mm_level ,domain, max_alg, min_alg,num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games
6,1,0.5,1,5000,0,100,2,1000,4,0,BFB,MINMAX,100,43,0,0.912281,0.087719,52
6,1,0.5,1,5000,0,100,2,1000,5,0,BFB,MINMAX,100,48,0,0.884615,0.115385,46
6,1,0.5,1,5000,0,100,2,1000,6,0,BFB,MINMAX,100,57,0,0.860465,0.139535,37
6,1,0.5,1,5000,0,100,2,100,3,0,BFB,MINMAX,100,48,0,0.826923,0.173077,43
6,1,0.5,1,5000,0,100,2,100,4,0,BFB,MINMAX,100,51,0,0.591837,0.408163,29
6,1,0.5,1,5000,0,100,2,100,5,0,BFB,MINMAX,100,68,0,0.3125,0.6875,10
6,1,0.5,1,5000,0,100,2,100,6,0,BFB,MINMAX,100,55,0,0.2,0.8,9
6,1,0.5,1,5000,0,100,2,5000,3,0,BFB,MINMAX,100,36,0,1,0,64
6,1,0.5,1,5000,0,100,2,5000,4,0,BFB,MINMAX,100,35,0,1,0,65
6,1,0.5,1,5000,0,100,2,5000,5,0,BFB,MINMAX,100,42,0,0.965517,0.034483,56
6,1,0.5,1,5000,0,100,2,5000,6,0,BFB,MINMAX,100,51,0,0.959184,0.040816,47
6,1,0.5,1,5000,0,100,2,500,3,0,BFB,MINMAX,100,25,0,0.946667,0.053333,71
